"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BEST1",970.913276250448,0.742988413697511,0.115030322160645,6.45906574668106,1.05351337984999e-10,1.66887054502036e-06
"JAM3",3426.8966286623,-0.676495036487491,0.111140989839983,-6.08681853078227,1.1517638830302e-09,9.12254583554067e-06
"DDIT4",2934.87087003055,-0.588071308310261,0.0989398651223849,-5.94372458040891,2.78617584289066e-09,1.47119371757436e-05
"TPO",239.277829284218,-1.12019814765361,0.19072667568968,-5.8733165856475,4.27161595806983e-09,1.6916667097946e-05
"PFKFB4",462.780745667075,-1.13122769319823,0.194850791182229,-5.80560995587788,6.41321005014050e-09,2.03183320808551e-05
"AC011603.2",3146.14940416876,0.653052114791551,0.124812247801497,5.23227588874271,1.67435595163695e-07,0.000442057877164683
"LSP1",308.681541292025,-1.1891059763682,0.231578247503203,-5.13479132512976,2.82457248503183e-07,0.00051903184241506
"ALDOC",1090.46434340925,-0.623449572447319,0.120922765070458,-5.15576675809601,2.52595157227889e-07,0.00051903184241506
"CD7",2421.71374386207,-0.498267730301738,0.0971909876654042,-5.12668656086823,2.94885839387383e-07,0.00051903184241506
"PPFIA4",517.747699250042,-1.01774033311568,0.201048764322186,-5.06215661930019,4.14540251562796e-07,0.000656673212500625
"STC1",42.0546479919317,-2.41709826120931,0.500747189314542,-4.82698318190862,1.38616822519028e-06,0.0019962082595672
"AC018362.1",79.5699384816702,1.44365051408358,0.310023632442031,4.6565821537928,3.21502022320353e-06,0.00424409461298059
"ZBTB16",4115.62545530758,-0.530079390249281,0.114465528984819,-4.63090849228138,3.6406475795033e-06,0.00443626910053167
"CYP2W1",35.0877827596649,-2.65841728029965,0.579915878787277,-4.58414293786703,4.5585233325418e-06,0.00481410454071964
"TPI1",5505.76063045504,-0.352796787172698,0.0768937856348405,-4.58810532294623,4.47286973923713e-06,0.00481410454071964
"P4HA1",803.42345345292,-0.597922083267109,0.131438426661095,-4.54906604146143,5.38845317986161e-06,0.00533490542638674
"BNIP3",954.752728879016,-0.562588472503027,0.125831283963832,-4.47097458422765,7.78639524329554e-06,0.00707690286945037
"PPDPF",1734.49898061118,-0.473509055868995,0.106070964147816,-4.46407798470781,8.04142741304884e-06,0.00707690286945037
"AL583722.2",200.739067712831,1.06739068989273,0.242352332135222,4.40429304099774,1.06129403415979e-05,0.00839700666064156
"AC093484.3",1388.93227690394,0.622652428037734,0.141707234204595,4.39393536633956,1.11316924356715e-05,0.00839700666064156
"GPX4",3022.11852449623,-0.513087397109795,0.116751472155628,-4.39469745123091,1.10927137890128e-05,0.00839700666064156
"AC005586.1",144.075979907731,1.23995405385743,0.282942418596988,4.38235475615825,1.17403433177465e-05,0.00845358084074644
"PTMS",475.982635435825,-0.781964162970429,0.178955989003091,-4.36958923435037,1.24480465971783e-05,0.00857345678895224
"KLF2",1176.85445299607,-0.709836520647088,0.164229170231777,-4.32223166959497,1.54458877244428e-05,0.0101949294767875
"ARL4C",1709.72956951367,-0.446378119708706,0.103864939123533,-4.29767853787311,1.72596227539025e-05,0.0109363873617828
"NSMF",44.7667944542212,-1.96792421352973,0.462653771219586,-4.25355705702378,2.10401295648741e-05,0.0128191035552758
"NECTIN2",44.8971983570107,-2.21801432579357,0.53462652145239,-4.1487173508864,3.34343313152117e-05,0.0196160460134915
