"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC16A3",677.949738286218,-1.4342244079218,0.194747829101431,-7.36452064466818,1.77784540361436e-13,2.32915526327517e-09
"ZBTB16",3598.36043360803,-0.81246674463541,0.113798257200794,-7.13953591751265,9.36465471099521e-13,6.13431706843741e-09
"IL32",651.25667222363,-1.34895881730211,0.192321696246533,-7.01407508164293,2.31475074736834e-12,1.01085165137575e-08
"AL662797.1",3002.27659167092,0.919787731138402,0.133904818581816,6.86896663525524,6.46686275585246e-12,2.11805922411058e-08
"RRBP1",1790.36626698149,-0.655117866842525,0.0963496025350205,-6.79938317964942,1.05068021752819e-11,2.53013966281451e-08
"NORAD",4184.37180547524,-0.77473106708592,0.114178491503668,-6.78526276607038,1.15875413914106e-11,2.53013966281451e-08
"ABCA2",521.68358861748,-1.25319589418859,0.19380466842129,-6.4662833170995,1.00442681361518e-10,1.77057007045544e-07
"MALAT1",47168.5770420123,-0.681299134645442,0.105543648171571,-6.45514103831173,1.0811816322146e-10,1.77057007045544e-07
"BNIP3",827.710713828186,-0.88300679121666,0.137557231545343,-6.41919571437139,1.36996191086021e-10,1.99420788824217e-07
"LNPEP",848.774772682289,-0.869074189714654,0.136630025520095,-6.3607848011917,2.00725502853039e-10,2.62970481287766e-07
"ACSF3",8136.64463854354,-0.606675853247777,0.0967594220456242,-6.26994085352966,3.61185276257826e-10,4.3017166402307e-07
"ACAP1",3400.75815075051,-0.581665158938089,0.0930712785489964,-6.24967409931816,4.11310026059211e-10,4.49047720950143e-07
"SLC23A1",291.424634005509,-1.17370720646907,0.189185087321452,-6.2040154596053,5.50403754344146e-10,5.34844129887918e-07
"AP001107.2",358.566453425236,1.14200915874701,0.184251958398219,6.19808423571172,5.71545517016323e-10,5.34844129887918e-07
"ALDOC",983.743508897395,-0.79048883990385,0.129726510772561,-6.09350267109048,1.10466490998578e-09,9.04513436607728e-07
"BAHCC1",7467.75204933166,-0.550692235700323,0.0902532360495453,-6.10163424387371,1.04989406783365e-09,9.04513436607728e-07
"TSPOAP1",3663.64284846367,-0.737662353198824,0.123046892819916,-5.99496936731608,2.03523803272292e-09,1.56845020392371e-06
"P2RX1",83.5457693543657,-2.02654458880602,0.340466679279179,-5.95225527824493,2.64472421693723e-09,1.92491844256082e-06
"CHD3",8318.54208799247,-0.487955987942112,0.083200547921739,-5.86481700097815,4.49628310187108e-09,3.10030552197963e-06
"AL583722.2",220.975336880154,1.38884729116901,0.237979357241198,5.83599900121329,5.34692159521098e-09,3.50250099094295e-06
"DDIT4",2653.11607732534,-0.745293189986721,0.130597189874923,-5.70680878126481,1.15113979897422e-08,7.18146786017202e-06
"DENND3",929.704131478435,-0.712833394250065,0.125327965283464,-5.68774409317023,1.28728530239688e-08,7.61685193899845e-06
"RFLNB",759.316084924616,-0.780333668330032,0.137352674928587,-5.68124114609159,1.33720780548786e-08,7.61685193899845e-06
"AHNAK",28336.6991412756,-0.459373949475228,0.0812427464853549,-5.65433800983127,1.56448066402028e-08,8.5401088247207e-06
"CERKL",323.511101474018,1.1349711129507,0.201618463909026,5.62930145853517,1.80940915780367e-08,9.11733437553305e-06
"NRN1",1142.82148758235,-0.831072030797825,0.147590666247177,-5.63092539609512,1.79245254396034e-08,9.11733437553305e-06
"AC006064.4",3057.36617601182,0.770647374506875,0.137981126828752,5.58516510350957,2.3347829716266e-08,1.13288858189926e-05
"LSP1",279.416058548646,-1.38863365744654,0.25037517905504,-5.54621134046709,2.9192594268097e-08,1.36590063395121e-05
"TRIM56",1489.08836100179,-0.558206590890875,0.100942601863479,-5.5299405858968,3.20339266067784e-08,1.44716024991519e-05
"PA2G4",3730.37909218529,0.45663052952372,0.0829854433008381,5.50253769047599,3.74363160510316e-08,1.63484392194855e-05
"AMPD3",445.144133322186,-0.82351747911783,0.150760234180519,-5.46243167897812,4.69656309145379e-08,1.98482816326246e-05
"AC005606.1",124.512475741266,1.43660501001095,0.263945210987252,5.44281521395112,5.24450432522015e-08,2.14713284889716e-05
"AC027290.1",133.567741610477,1.4111427447527,0.261398869476538,5.39842711477128,6.72276684993809e-08,2.66893843942542e-05
"AL590133.2",352.317514951566,0.959870379269749,0.179608349295593,5.34424141769729,9.07964895992298e-08,3.49860238305738e-05
"ITPR2",1613.12630702712,-0.500798682911113,0.0940268191029053,-5.32612596798607,1.00329564685149e-07,3.6815537935168e-05
"MSI2",3819.77922614337,-0.464380738876618,0.0872138874079077,-5.32461919401282,1.01164748161671e-07,3.6815537935168e-05
"AC008894.2",297.165752078272,1.11476954060053,0.212566585543672,5.24433103043611,1.5685037189459e-07,5.5537749248406e-05
"H1F0",450.568620812169,-0.802761915412218,0.153571246789538,-5.22729307858237,1.7200973018123e-07,5.93026177659025e-05
"JAM3",3254.34254481186,-0.650473092665401,0.12480786398362,-5.21179573068224,1.87021413987719e-07,6.28248088372591e-05
"AC093484.3",1411.27645020884,0.797967597353794,0.154273314125778,5.17242792038041,2.31071647698921e-07,7.56817414125891e-05
"AC034102.4",86.3776532841523,1.62092597377183,0.314295983634938,5.15732321815024,2.50505170474554e-07,8.004556678993e-05
"IGLL1",3020.12564056691,-0.647588696434365,0.126219998412771,-5.13063464251195,2.88766919105529e-07,9.00746525524176e-05
"ZNF521",2507.46186059067,-0.521198410830124,0.101703050388709,-5.1247077529937,2.97999603239193e-07,9.07928558613178e-05
"ABCG1",1011.63112147615,-0.644153378344527,0.126382469835434,-5.09685701809195,3.45338957489445e-07,0.000102824674592482
"GNA15",2867.86694085337,-0.624509312140245,0.122768422970822,-5.08688877015771,3.63985159077347e-07,0.000105968212646052
"ZNF460",1092.11365881124,-0.555373973363822,0.10933705852611,-5.07946693326487,3.78495394088635e-07,0.000107797133868591
"TROVE2",1128.0811092194,-0.765703921264945,0.151000859721143,-5.07085802477542,3.96026137385013e-07,0.000108090383872522
"MYC",10730.3409326772,0.375465251200739,0.0740100064945511,5.07316873737043,3.91245275710806e-07,0.000108090383872522
"ZNF710-AS1",542.186977982022,-0.807073537907565,0.160595022490359,-5.0255202520739,5.02069577498576e-07,0.000134237010914466
"CERCAM",412.932361098985,-0.923588724467482,0.185685711644428,-4.97393534638826,6.56071979823912e-07,0.000171903980153462
"MMP25-AS1",910.903325837845,-0.761697022562379,0.153933476068282,-4.94822206330548,7.48944364501923e-07,0.000192390590575288
"PPM1H",3598.05586419432,-0.417700280203376,0.084647965006237,-4.93455784994476,8.03325334408862e-07,0.000198572928416802
"AC145207.2",757.195151651357,0.719767891640631,0.145832425733632,4.93558197376016,7.99121066654782e-07,0.000198572928416802
"BHLHE40",405.06535353653,-0.913209477451648,0.186142402628189,-4.90597233385745,9.2965629314751e-07,0.000225544946231954
"CYP2W1",31.9615522043036,-3.03843908176746,0.621164345649467,-4.89152203124372,1.00059191018405e-06,0.000238340993005842
"NOL6",1278.9889333118,0.503831170329599,0.103829853687881,4.85246923148085,1.21933705939317e-06,0.00028525955026982
"RAP1GAP",1015.97556793504,-0.572949033622659,0.118848908522671,-4.82081864061348,1.42970291972268e-06,0.000326441831332629
"HEG1",389.834739567758,-0.792972641801996,0.164684733286685,-4.81509503629325,1.47129851210742e-06,0.000326441831332629
