"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC011603.2",3211.13654744911,0.702941846867275,0.106862953267876,6.5779751108431,4.76898030265428e-11,7.6074773787941e-07
"CERKL",359.367817584969,1.22967520603021,0.195741967255551,6.2821234672931,3.33979430683057e-10,1.77587995941871e-06
"AC021224.1",1727.97241808179,0.690005710183543,0.109414126122184,6.3063676934458,2.85659948555139e-10,1.77587995941871e-06
"TPO",235.309989930918,-1.18693257576931,0.197567242838745,-6.0077397382019,1.88127509810832e-09,7.50252509125599e-06
"AC092069.1",908.7785454231,0.610198975531123,0.103976416629868,5.86862863050274,4.39414424694752e-09,1.40190778054614e-05
"AC009133.1",1270.58096138173,0.591745456940662,0.108332805834363,5.46229235348543,4.70025169375902e-08,0.000124964025031406
"DDIT4",2906.36102114731,-0.619036191642867,0.117752934533779,-5.25707655689286,1.46363394701363e-07,0.00033354126746802
"TRBC1",4624.648749844,-0.425246185908627,0.0827769111602534,-5.13725602886249,2.78779033303546e-07,0.00055588539240727
"EFNA3",101.13069988802,-1.77323463154625,0.356320140592609,-4.97652091346035,6.47372848234353e-07,0.000886263487730272
"AC125611.3",368.266033034878,0.808604482138968,0.161087597073796,5.01965698680412,5.17638275324358e-07,0.000886263487730272
"LRRC75A",945.762570496444,0.657742258743494,0.132001134909872,4.98285305798765,6.26535297328393e-07,0.000886263487730272
"CD7",2490.93163872428,-0.399158936017484,0.0803003944484444,-4.97082161002032,6.66697708924478e-07,0.000886263487730272
"RPL13A",30208.8183759259,-0.353216782437018,0.0725601856827191,-4.86791453348141,1.1278208270195e-06,0.00138392291020116
"PTMS",492.708396882808,-0.646642995043468,0.13456727946235,-4.80535088193107,1.54480339815692e-06,0.00176019312909994
"TPI1",5334.64766067731,-0.45510120357941,0.096276552998763,-4.72702012488188,2.27838691617622e-06,0.00242298853912287
"RUSC1-AS1",325.012909986323,0.716008352829054,0.153398811684251,4.66762646312316,3.04699206100351e-06,0.002859153962184
"NKX3-1",1213.93795101818,-0.506207632061858,0.108200539621259,-4.67842058675278,2.89093092835943e-06,0.002859153962184
"AL353689.2",51.6183442978715,1.94205554894731,0.423316448447543,4.58771577638796,4.4812216123519e-06,0.00397135817556875
"STC1",42.856586303166,-2.236565099331,0.490111632741494,-4.56337893230675,5.03368421594157e-06,0.004014866530635
"AC093484.3",1353.84937241308,0.564893397268169,0.123517810197925,4.57337606911089,4.79927598172099e-06,0.004014866530635
"TRBV7-2",202.623700856865,-0.960995917246312,0.212497462760013,-4.52238772531428,6.11459220031996e-06,0.00459962810130068
"UBC",4970.85848532872,-0.319123225344154,0.0706868701208791,-4.51460398230157,6.34351919687908e-06,0.00459962810130068
"AL583722.2",192.165653389762,0.978837271414302,0.217395986119181,4.50255448082507,6.71415357328366e-06,0.00465670338265309
"KDM6B",3150.36606718364,-0.337042742153623,0.0751044152024322,-4.48765550261163,7.20112479427836e-06,0.00478634761326368
"AL662797.1",2661.53696645351,0.505148826369314,0.113981152854464,4.4318627572956,9.34224771780994e-06,0.00573182829209631
"NECTIN1",1546.53064884283,-0.42759867989546,0.0963636477374058,-4.43734426762964,9.10755687421987e-06,0.00573182829209631
"SIX6",2442.43700298822,-0.3586275893294,0.0810834362843234,-4.42294512620127,9.73644769981354e-06,0.00575243754471947
"BHLHE40",432.663206143554,-0.878425768279311,0.199612335934501,-4.40065872766274,1.07922748017693e-05,0.00577356260576269
"ZACN",393.350466710256,0.689108691910026,0.156639067931183,4.39934111592631,1.08580038974975e-05,0.00577356260576269
"MIF",2222.52077517049,-0.450005666983235,0.102066279915184,-4.40895531175609,1.03870453646613e-05,0.00577356260576269
"AC008622.2",517.082987682591,0.637136095392678,0.146272002833463,4.35583080186635,1.32563148419696e-05,0.00682144304384189
"HIST1H3B",13382.5084839848,-0.374902273147051,0.0863078921503032,-4.34377742065774,1.40053418197874e-05,0.00698166289716401
"AC008894.2",278.738416739106,0.849993047071897,0.197306908888019,4.30797406873527,1.6475669523798e-05,0.00796423879526141
"AC006030.1",178.224524040626,1.20180816556662,0.280584903709047,4.28322461287095,1.84204049645764e-05,0.0085717585674666
"AC138028.2",214.001864093884,0.869836757000591,0.203299327361482,4.27860125407082,1.88071432962219e-05,0.0085717585674666
"WNT4",11.3554160925376,5.96916921221675,1.40430998489932,4.25060654442667,2.13192391541416e-05,0.00872011546120173
"P2RY14",72.123806959983,1.61437020334069,0.379345852132069,4.25566852587767,2.08425302685544e-05,0.00872011546120173
"HIST1H2BK",6823.33978693353,-0.413651340396459,0.0971896679015356,-4.25612464089841,2.08000779628696e-05,0.00872011546120173
"TMEM184A",425.238019393892,0.665048124418846,0.156167537523259,4.25855549089256,2.057521476871e-05,0.00872011546120173
"C12orf57",1813.24692513512,-0.411918053471558,0.0970760067124843,-4.24325296663222,2.20302860501904e-05,0.00878567807681593
"AL139099.1",343.068453121065,0.795363414163604,0.187716723333102,4.23704079232322,2.26485000599587e-05,0.0088119237306454
"RPL28",20913.9933763998,-0.304682389514247,0.0722000288602356,-4.21997600726794,2.44328319910656e-05,0.00927982228384474
"HS6ST1",3121.34389553368,-0.346814275493608,0.0827637836786138,-4.19041107207408,2.7844953126585e-05,0.0103298300529136
"AC005899.8",16.6263989895466,3.34383941838504,0.801310432765861,4.17296378738412,3.00662743730967e-05,0.0109003911090827
"STARD4-AS1",154.748352538983,0.921157727804158,0.221735834895937,4.15430247544998,3.26281329988108e-05,0.011448319013699
"HLA-C",2977.55338763204,-0.345269869939884,0.0831650872534774,-4.15162036549715,3.3012956032482e-05,0.011448319013699
"TENM1",269.302499360552,0.729941998684565,0.17636555840871,4.13880127883583,3.49125184491598e-05,0.0118494573255531
"CEBPE",301.767614319339,-0.794487557993175,0.192552238868438,-4.12608839378914,3.68985492498541e-05,0.0122626178673682
"RPS14",15930.9330631396,-0.259627365339009,0.0635155147620177,-4.08762121053085,4.35818982490949e-05,0.0141881314463176
"RPL32",11897.0623763572,-0.267202463005806,0.0657669912681367,-4.06286585190438,4.8473889702277e-05,0.0147079677479557
"RAG1",2519.67169105604,-0.339704774379665,0.0836894773839578,-4.05910975905773,4.92601568477352e-05,0.0147079677479557
"FXYD2",144.105711822406,1.10794420790423,0.273120281126739,4.05661638650006,4.97887574216154e-05,0.0147079677479557
"SBK1",1608.7734492174,-0.457583521484995,0.112441896882078,-4.06951086893242,4.71119419178983e-05,0.0147079677479557
"RFLNB",858.344389813718,-0.53674576316689,0.131958145178948,-4.06754552694729,4.75109282369089e-05,0.0147079677479557
"PTPRF",1495.757472645,-0.533320287912872,0.132604788160738,-4.02187805817692,5.77359475446388e-05,0.0153500639205346
"RMRP",104892.956704263,-0.346614001021658,0.0858831445633273,-4.03587924946176,5.43981901228654e-05,0.0153500639205346
"LSP1",321.04165047182,-0.999477405465192,0.247272607449457,-4.04200617195128,5.29958373885035e-05,0.0153500639205346
"SLC7A6OS",601.977858054682,0.510239960332623,0.126780067286904,4.02460711097389,5.70705144764764e-05,0.0153500639205346
"ZNF521",2796.11164256589,-0.346699204715029,0.0860737906441915,-4.02793001354153,5.62700872613935e-05,0.0153500639205346
"SCAND1",606.692820285789,-0.487577942998718,0.121179096666722,-4.02361427350543,5.73117558765047e-05,0.0153500639205346
"HIST2H2AB",3237.61911611068,-0.432224229178115,0.108128174839176,-3.99733214604781,6.4060385512101e-05,0.0167523158965416
"TMSB10",4929.20685658062,-0.293070571817843,0.0735254365267664,-3.98597527144435,6.72035112569281e-05,0.017290813089847
"FAM149B1",370.542588483705,0.694288018845732,0.175152498010047,3.96390589191543,7.3733329104018e-05,0.0183780322791765
"AC007952.4",61.1926635557807,1.61495005811392,0.407060348067748,3.96734800080586,7.26768339296861e-05,0.0183780322791765
"PLAC4",174.245988776493,0.879252204842945,0.222242304817091,3.95627738637152,7.6126761757273e-05,0.0186826785161849
"TTN",337.471057092771,0.762597359631745,0.193331206942369,3.94451248555578,7.99624875603233e-05,0.0190382328591385
"ZNF814",295.350996569871,0.677637739217612,0.171657179505414,3.94762247154504,7.89311425897431e-05,0.0190382328591385
"HIST1H3H",7786.25383785508,-0.39217105363715,0.100221336636396,-3.9130495241742,9.11378342681148e-05,0.0213798637094848
"SYNC",267.343823094097,0.909901275543768,0.233955225682346,3.88921116375999,0.000100570584009374,0.0222819716127435
"SLC2A1",2348.65090493182,-0.449392911612693,0.115417757407964,-3.8936201993965,9.87592322995169e-05,0.0222819716127435
"RPL35",7448.05516796569,-0.313463998094201,0.0805461134322812,-3.89173337777179,9.95305873298869e-05,0.0222819716127435
"BEST1",857.462413756732,0.449889199554088,0.115666979038897,3.88952148048057,0.000100442078440053,0.0222819716127435
"GNA15",3176.95683079124,-0.465630422681218,0.120004858536749,-3.8800964257512,0.000104415061935413,0.0228168365478591
"AC104423.1",6.19450344441243,6.08064367729588,1.57076316280575,3.87113972448553,0.000108327673440624,0.0233519330638491
"40057",12960.1074418709,-0.315059800475449,0.0815580350020311,-3.86301362542149,0.000111996758407526,0.0235075301331165
"BCL2L1",1923.38745449297,-0.325716408732768,0.0842979260555251,-3.86387214933647,0.000111603650786728,0.0235075301331165
"IGFBPL1",94.4972065704802,-1.13793713112834,0.296143708856837,-3.84251664680288,0.000121779151458606,0.0252288444684114
"ZNF451-AS1",155.310404213663,0.838644959870601,0.218664708123761,3.83530093660994,0.000125410644946398,0.0256480847203198
"AC006064.4",2775.06648439583,0.398153186566971,0.103963299225693,3.82974751217372,0.000128274805491215,0.025901768318935
"NARF",2061.27308721553,-0.372301374356149,0.0979501916953943,-3.80092542864983,0.000144156684824598,0.0287448429540248
"TLE2",550.204923220409,-0.54782662681324,0.144283080172033,-3.79688752250124,0.000146524231175246,0.0288562288358953
"COX20",425.875150846136,0.554389915825482,0.146419936022558,3.78630076535527,0.000152906586546901,0.029387540585496
"HMGA1",11600.9269310621,-0.253061866333923,0.0667865742686444,-3.78911284348856,0.000151186231546601,0.029387540585496
"GPR17",134.034496591846,0.948530897914145,0.251982418852542,3.76427411973221,0.000167033575331067,0.0317204713533474
"MICALL2",372.339870608899,-0.585368788663621,0.155971702574641,-3.75304480877543,0.000174699612558332,0.0327859790533
"GPT",100.02694026711,1.15278703784909,0.30787957934577,3.74427898173277,0.000180912548646135,0.0334999860747687
"AC069234.2",208.130379199741,0.94767127052932,0.253265904375993,3.74180359122651,0.000182704287142984,0.0334999860747687
"FTH1",18767.8315978205,-0.260305394036868,0.0697161625994327,-3.73378832585066,0.00018862103665592,0.0341918497356276
"HIST1H2AC",8700.81290554833,-0.341848341887292,0.0918678111634136,-3.72108943881569,0.00019836516229087,0.0347062973830713
"H2AFX",5197.85558384006,-0.310859349100738,0.0836449508663518,-3.71641498836469,0.000202069587837567,0.0347062973830713
"TSPAN31",239.389204694428,0.905764086467372,0.243919331207244,3.71337557373751,0.000204513036234247,0.0347062973830713
"NOXO1",55.8973762239151,1.42893310165709,0.384031755573282,3.72087224798371,0.000198535859471008,0.0347062973830713
"NECTIN2",49.4930755847338,-1.56022648296474,0.41936349216483,-3.72046330239804,0.000198857637441143,0.0347062973830713
"RPS11",13484.6368802102,-0.294923684271445,0.0793851703987861,-3.7150979558262,0.000203124991066005,0.0347062973830713
"AC025283.2",111.55974088352,0.975490252706584,0.263597459632778,3.70068153944107,0.00021502118741226,0.0361054524378987
"RPL13",20766.130294574,-0.278512729240542,0.0753649720403764,-3.69551957229322,0.000219437574125588,0.0364632102338685
"RPLP1",19240.4678664221,-0.291417187238717,0.0789809656307384,-3.68971415975321,0.000224506164211112,0.036544105423425
"ACSBG1",101.042527989087,1.09397232480641,0.296345938925594,3.6915381016275,0.000222901996468807,0.036544105423425
"PTMA",23055.2488988504,-0.234416350254468,0.0636056004902265,-3.68546713572004,0.000228283539921925,0.0367836265538843
"DNMBP-AS1",44.1327843110763,1.70506660169315,0.463287967944867,3.68036020718772,0.000232904715732615,0.0371529602536668
"CEMP1",59.261800656065,1.54966273757614,0.422305154205198,3.66953309033771,0.000242993883775474,0.0383785983563006
"NDUFA3",917.879447940433,-0.379628628006407,0.103676698889806,-3.66165813602823,0.000250588106911987,0.0391900145241178
"CROCC",1561.66919157625,-0.369107458991357,0.101014879736714,-3.65399097591763,0.000258195345920116,0.0399876908555116
"AC018362.1",70.8981584801079,1.20961443376618,0.331367859113845,3.65036741040898,0.000261865459960766,0.0401661328585975
"SPATA21",215.262810695551,0.725209484825083,0.198993324093083,3.64439102733844,0.000268025665849221,0.0405191939472324
"AC024267.6",53.8022072361973,1.58086689244818,0.433920111700039,3.643221067248,0.000269247402106735,0.0405191939472324
"SLIT1",6439.53845120843,-0.274983009103995,0.0755513428763188,-3.63968393724193,0.000272972889995567,0.0406959209458811
"AP001107.2",299.735636025137,0.614874307215316,0.169583480974709,3.62579128392238,0.000288077966768208,0.0420916691505844
"GOT1",516.775290189938,-0.482424554152448,0.132953104374851,-3.62853170236846,0.000285037752159802,0.0420916691505844
"HBQ1",195.499215684417,-0.81634002712767,0.225268768865466,-3.62384910806345,0.000290250978345303,0.0420916691505844
"RPL37",7532.0203606176,-0.293706034043513,0.081169496199516,-3.61842869298558,0.000296397139480917,0.0421732745094389
"AL928654.2",211.241067516498,0.72952189948461,0.201564418598259,3.61929900405008,0.000295402154916211,0.0421732745094389
"ELOB",2257.40624595859,-0.383801375510924,0.106195460033682,-3.61410342202193,0.000301388747121116,0.0421732745094389
"GPI",6104.52917363202,-0.34227199151336,0.0946483711798154,-3.61624809013461,0.000298903919771367,0.0421732745094389
"PGK1",8797.40321505741,-0.294427860245952,0.081576458457987,-3.60922582092218,0.000307112179648525,0.0422591709361404
"CBFA2T3",4375.78733454665,-0.284082199447363,0.0787134854122794,-3.60906645105879,0.000307300891962906,0.0422591709361404
"TMPRSS6",13.4400526001572,3.22430850063924,0.894352128706924,3.60518904930771,0.00031192577658939,0.0425285469072987
"HIST1H3I",7467.44575551057,-0.324912472352474,0.0902533735739561,-3.60000362852068,0.000318212739746456,0.0430180476647073
"PXDN",4174.42236988364,-0.264520502119419,0.073648037980822,-3.59168430513112,0.000328547699937093,0.0437106822726248
"SLC5A2",224.051267341999,0.76148043709464,0.212024655888216,3.59147116124131,0.000328816566744921,0.0437106822726248
"ENO1",30466.4037618236,-0.308302711790354,0.0861867395080126,-3.57714787158983,0.000347363690078537,0.0457945916044035
"NHLH1",20.454871712517,2.399553467806,0.672881344000152,3.5660870808828,0.000362351012053383,0.0473788798711112
"AL445686.2",34.0506124735432,1.87005132845568,0.525317921611599,3.55984681184803,0.000371071188452309,0.047442321930752
"KANK4",65.6146629724842,-1.29078262055697,0.362345625109335,-3.56229668887953,0.000367624586949057,0.047442321930752
"FBLN2",1311.83729902124,-0.333846626859298,0.0937971074924517,-3.55924223874563,0.000371926365125914,0.047442321930752
"AC015802.6",470.458966522398,0.646656649339429,0.18178465502815,3.557267522054,0.00037473248265263,0.047442321930752
"FN1",35.9344157362138,1.85541516965411,0.523175080968048,3.54645172744271,0.000390456269879841,0.0486836897336275
"SPDYE3",170.93140365795,0.764600639224219,0.215603547869113,3.54632679647919,0.000390641442195607,0.0486836897336275
"C5orf66",231.490909276984,0.645956425548041,0.182906305634788,3.53162469334344,0.000413015085044876,0.0493075141072301
"VSIR",167.290730393203,-0.968200926903406,0.274335270778437,-3.52926156434824,0.000416721032083725,0.0493075141072301
"AC025423.4",94.223247325374,1.25001123621943,0.353343156302707,3.53766929944034,0.000403675301753873,0.0493075141072301
"TPT1",14975.0983088901,-0.230948895791344,0.0654707257201185,-3.5275139117692,0.000419481717180666,0.0493075141072301
"NME4",1634.77826546404,-0.318023062995845,0.090087090516569,-3.53017353732112,0.000415287177394233,0.0493075141072301
"GPX4",3174.34831319946,-0.343919557365917,0.0972745297243185,-3.53555610436364,0.000406917826997487,0.0493075141072301
"CD37",768.315443784413,-0.420857845928454,0.119086939011217,-3.53403865631991,0.000409261217408781,0.0493075141072301
"FCGRT",1237.58619593764,-0.365730474878214,0.103695941266964,-3.52695072159716,0.000420374994896144,0.0493075141072301
"GAPDH",50987.1302796533,-0.245982960424909,0.0698089566663487,-3.52365902846224,0.000425631592203775,0.0495596726922235
"H1FX",3283.1343718054,-0.377398246843179,0.107193607622534,-3.52071597564034,0.000430383342626798,0.0497498194317586
